temperature,humidity,rainfall,wind_speed,season,risk_level,disease_name,pest_name
32.9,48.28,40.23,10.08,Winter,Low,,Healthy
24.81,73.94,32.27,21.46,Summer,Medium,Armyworm,Whitefly
32.48,94.11,22.07,2.54,Monsoon,Low,,Aphids
35.09,83.64,274.14,10.4,Winter,High,Blight,Powdery Mildew
34.56,70.16,119.02,13.74,Monsoon,Medium,Armyworm,Stem Borer
20.0,88.96,187.76,5.03,Winter,High,Leaf Spot,Powdery Mildew
28.53,92.32,176.12,13.56,Monsoon,High,Leaf Spot,Powdery Mildew
24.92,82.87,288.34,3.63,Winter,High,Leaf Spot,Powdery Mildew
38.52,93.54,187.27,9.52,Summer,High,Leaf Spot,Powdery Mildew
34.11,94.04,71.13,7.1,Winter,Low,,Healthy
27.21,60.11,72.3,23.99,Winter,Medium,Aphids,Whitefly
25.59,52.45,242.13,12.24,Summer,Low,,Stem Borer
34.36,69.05,200.63,24.24,Summer,Medium,Armyworm,Stem Borer
26.77,65.95,15.72,4.94,Monsoon,Medium,Aphids,Whitefly
38.56,67.39,154.34,14.34,Winter,Medium,Aphids,Stem Borer
35.86,87.2,148.08,0.31,Winter,High,Blight,Powdery Mildew
39.73,71.53,292.1,3.81,Summer,Medium,Armyworm,Stem Borer
31.93,88.21,14.74,10.06,Summer,Low,,Healthy
26.68,87.38,116.92,4.16,Monsoon,Medium,Armyworm,Powdery Mildew
30.43,77.63,155.19,2.19,Monsoon,High,Blight,Stem Borer
24.28,87.27,210.57,0.35,Summer,High,Blight,Powdery Mildew
31.06,65.44,253.99,4.36,Monsoon,Medium,Aphids,Stem Borer
22.89,43.91,296.6,10.84,Winter,Low,,Stem Borer
33.92,47.75,204.22,14.4,Monsoon,Low,,Stem Borer
33.59,90.19,37.43,17.65,Monsoon,Low,,Aphids
37.27,79.55,72.53,24.81,Monsoon,Low,,Whitefly
28.6,77.11,165.17,22.96,Winter,High,Leaf Spot,Stem Borer
27.18,53.21,37.09,10.3,Summer,Low,,Healthy
28.74,40.52,63.13,9.49,Summer,Low,,Healthy
21.89,67.4,31.85,11.93,Monsoon,Medium,Armyworm,Whitefly
32.84,88.23,2.41,21.91,Monsoon,Low,,Aphids
29.53,66.47,18.12,6.19,Summer,Medium,Armyworm,Whitefly
30.79,82.32,141.42,21.56,Monsoon,High,Leaf Spot,Powdery Mildew
28.77,83.14,201.99,3.57,Monsoon,High,Leaf Spot,Powdery Mildew
28.47,45.22,228.63,1.03,Monsoon,Low,,Stem Borer
37.84,85.56,226.11,11.65,Winter,High,Leaf Spot,Powdery Mildew
33.11,54.06,218.96,22.72,Summer,Low,,Stem Borer
36.01,61.44,297.27,17.94,Summer,Medium,Aphids,Stem Borer
34.32,78.1,138.02,3.38,Winter,Medium,Aphids,Stem Borer
35.19,79.58,233.55,22.86,Winter,High,Leaf Spot,Stem Borer
29.1,63.22,41.6,14.17,Monsoon,Medium,Armyworm,Whitefly
20.11,72.69,220.41,4.31,Summer,Medium,Aphids,Stem Borer
28.7,54.42,284.68,14.35,Summer,Low,,Stem Borer
21.49,62.08,217.3,2.34,Summer,Medium,Aphids,Stem Borer
32.74,93.18,228.46,14.53,Summer,High,Blight,Powdery Mildew
32.55,66.38,208.0,2.75,Winter,Medium,Armyworm,Stem Borer
24.94,51.06,11.73,8.83,Winter,Low,,Healthy
24.86,69.23,50.43,13.78,Monsoon,Medium,Armyworm,Whitefly
30.72,74.59,9.89,7.63,Winter,Medium,Aphids,Whitefly
38.45,92.56,77.24,8.37,Monsoon,Low,,Healthy
23.42,92.2,85.89,24.5,Summer,Medium,Aphids,Stem Borer
32.62,58.8,174.02,14.39,Summer,Low,,Stem Borer
33.77,85.92,222.92,8.54,Winter,High,Leaf Spot,Powdery Mildew
23.1,86.3,209.38,24.18,Summer,High,Blight,Powdery Mildew
39.73,87.15,299.74,17.3,Summer,High,Blight,Powdery Mildew
31.06,51.35,28.75,17.03,Summer,Low,,Healthy
25.6,72.85,89.53,19.31,Monsoon,Medium,Aphids,Stem Borer
30.27,64.85,53.24,21.04,Monsoon,Medium,Armyworm,Whitefly
38.27,60.82,195.15,3.59,Winter,Medium,Aphids,Stem Borer
39.47,77.72,236.69,0.84,Winter,High,Blight,Stem Borer
38.89,65.6,71.69,11.44,Summer,Medium,Aphids,Whitefly
32.77,93.18,199.14,4.43,Winter,High,Leaf Spot,Powdery Mildew
31.62,72.35,205.2,4.61,Winter,Medium,Armyworm,Stem Borer
37.37,60.3,132.72,4.93,Summer,Medium,Armyworm,Stem Borer
31.28,91.51,175.97,21.99,Monsoon,High,Blight,Powdery Mildew
26.98,41.87,68.89,10.41,Winter,Low,,Healthy
25.3,57.22,196.43,1.85,Summer,Low,,Stem Borer
20.37,82.64,296.41,17.98,Winter,High,Leaf Spot,Powdery Mildew
31.38,93.69,229.22,0.8,Summer,High,Leaf Spot,Powdery Mildew
25.28,78.0,75.57,12.53,Monsoon,Low,,Whitefly
30.68,83.91,288.0,12.02,Summer,High,Blight,Powdery Mildew
37.48,67.79,255.56,5.71,Monsoon,Medium,Armyworm,Stem Borer
28.26,57.32,213.21,23.22,Monsoon,Low,,Stem Borer
36.73,92.0,140.37,19.63,Monsoon,High,Leaf Spot,Powdery Mildew
35.77,53.65,90.37,3.51,Summer,Medium,Aphids,Stem Borer
28.53,79.6,295.15,14.81,Monsoon,High,Blight,Stem Borer
39.23,61.77,223.26,13.81,Winter,Medium,Aphids,Stem Borer
33.54,44.54,14.85,4.75,Monsoon,Low,,Aphids
29.31,88.07,188.67,1.22,Monsoon,High,Leaf Spot,Powdery Mildew
25.02,45.21,140.78,21.37,Winter,Low,,Stem Borer
24.62,88.11,249.92,20.57,Winter,High,Leaf Spot,Powdery Mildew
23.23,45.39,0.13,22.51,Summer,Low,,Healthy
26.83,84.02,273.17,5.75,Monsoon,High,Leaf Spot,Powdery Mildew
26.79,40.27,204.32,0.3,Summer,Low,,Stem Borer
24.57,43.06,44.68,22.65,Winter,Low,,Healthy
37.51,65.05,158.71,10.05,Winter,Medium,Aphids,Stem Borer
25.3,42.25,139.71,20.59,Monsoon,Medium,Armyworm,Stem Borer
21.52,81.69,209.17,3.88,Monsoon,High,Blight,Powdery Mildew
26.25,89.58,231.59,15.17,Winter,High,Leaf Spot,Powdery Mildew
24.04,85.91,289.26,20.37,Summer,High,Blight,Powdery Mildew
32.07,64.36,195.45,11.88,Winter,Medium,Aphids,Stem Borer
27.13,47.46,216.79,16.78,Summer,Low,,Stem Borer
23.75,92.74,275.82,13.79,Winter,High,Leaf Spot,Powdery Mildew
21.06,41.52,227.77,18.47,Winter,Low,,Stem Borer
27.58,66.32,297.88,11.77,Winter,Medium,Aphids,Stem Borer
22.83,62.09,241.57,11.62,Monsoon,Medium,Armyworm,Stem Borer
20.78,55.19,172.42,16.03,Monsoon,Low,,Stem Borer
36.84,49.31,71.56,5.83,Winter,Low,,Healthy
32.48,49.24,227.65,2.06,Monsoon,Low,,Stem Borer
30.66,85.68,32.35,10.14,Monsoon,Low,,Healthy
27.7,84.9,234.17,15.76,Winter,High,Leaf Spot,Powdery Mildew
22.07,85.25,93.26,5.5,Summer,Medium,Aphids,Powdery Mildew
28.97,72.37,149.54,12.86,Summer,Medium,Armyworm,Stem Borer
20.17,41.73,59.22,24.93,Monsoon,Low,,Healthy
35.56,53.4,184.07,2.65,Winter,Low,,Stem Borer
38.17,60.44,71.12,16.06,Summer,Medium,Aphids,Whitefly
33.56,77.03,197.43,24.83,Summer,High,Leaf Spot,Stem Borer
35.55,59.88,4.7,19.14,Summer,Low,,Aphids
31.73,49.31,43.86,15.17,Winter,Low,,Healthy
36.31,52.26,116.18,15.71,Summer,Medium,Armyworm,Stem Borer
26.46,92.07,140.43,8.51,Monsoon,High,Leaf Spot,Powdery Mildew
29.65,42.68,129.51,12.51,Winter,Medium,Aphids,Stem Borer
23.45,94.71,202.63,12.85,Winter,High,Leaf Spot,Powdery Mildew
22.86,64.28,15.73,11.91,Monsoon,Medium,Armyworm,Whitefly
34.87,42.84,114.3,9.76,Winter,Medium,Armyworm,Stem Borer
24.03,89.44,282.97,1.45,Monsoon,High,Blight,Powdery Mildew
25.7,71.69,133.84,21.29,Monsoon,Medium,Aphids,Stem Borer
21.96,79.59,9.16,3.88,Monsoon,Low,,Whitefly
32.11,73.7,153.97,21.88,Monsoon,Medium,Armyworm,Stem Borer
26.41,61.25,234.15,14.38,Winter,Medium,Armyworm,Stem Borer
34.47,59.65,254.93,22.76,Winter,Low,,Stem Borer
31.87,47.12,285.91,1.87,Monsoon,Low,,Stem Borer
35.73,75.75,124.95,17.94,Monsoon,Medium,Armyworm,Stem Borer
33.09,53.96,239.49,9.62,Summer,Low,,Stem Borer
38.66,76.46,120.49,7.13,Monsoon,Medium,Armyworm,Stem Borer
23.8,82.99,164.05,8.59,Monsoon,High,Blight,Powdery Mildew
27.94,51.31,65.83,6.51,Winter,Low,,Healthy
24.77,88.92,202.98,22.95,Summer,High,Leaf Spot,Powdery Mildew
32.55,55.25,57.17,3.51,Winter,Low,,Healthy
29.96,78.93,32.1,22.09,Winter,Low,,Whitefly
23.76,90.09,260.32,15.55,Winter,High,Blight,Powdery Mildew
25.55,78.85,2.52,3.49,Summer,Low,,Whitefly
26.26,82.76,290.61,12.6,Summer,High,Leaf Spot,Powdery Mildew
36.3,47.73,185.81,3.44,Winter,Low,,Stem Borer
37.33,90.58,248.87,8.09,Monsoon,High,Leaf Spot,Powdery Mildew
36.77,89.85,153.12,8.09,Summer,High,Leaf Spot,Powdery Mildew
38.77,50.51,162.2,10.41,Winter,Low,,Stem Borer
24.08,74.61,288.75,14.73,Winter,Medium,Armyworm,Stem Borer
38.68,66.73,3.35,17.27,Winter,Medium,Armyworm,Aphids
36.29,54.03,12.3,19.57,Winter,Low,,Aphids
39.09,62.31,201.75,22.34,Summer,Medium,Armyworm,Stem Borer
31.7,93.46,188.37,6.13,Summer,High,Blight,Powdery Mildew
31.97,49.72,155.21,23.19,Winter,Low,,Stem Borer
25.25,82.05,105.06,21.08,Monsoon,Medium,Armyworm,Powdery Mildew
31.5,53.1,104.76,5.59,Summer,Medium,Armyworm,Stem Borer
22.65,52.41,194.8,12.77,Winter,Low,,Stem Borer
33.81,47.06,102.99,5.08,Winter,Medium,Armyworm,Stem Borer
37.24,90.43,189.43,22.52,Winter,High,Leaf Spot,Powdery Mildew
24.12,63.8,20.23,5.2,Monsoon,Medium,Aphids,Whitefly
24.99,94.01,88.62,24.53,Summer,Medium,Armyworm,Stem Borer
34.73,89.01,86.33,17.94,Winter,Medium,Aphids,Stem Borer
39.27,92.51,115.5,4.15,Monsoon,Medium,Armyworm,Powdery Mildew
24.2,82.12,253.77,4.03,Summer,High,Blight,Powdery Mildew
26.54,81.62,240.24,8.63,Winter,High,Blight,Powdery Mildew
34.42,60.26,286.15,20.8,Winter,Medium,Aphids,Stem Borer
28.9,83.92,203.69,7.79,Monsoon,High,Leaf Spot,Powdery Mildew
32.48,89.24,283.31,16.26,Winter,High,Leaf Spot,Powdery Mildew
39.25,51.42,252.19,15.27,Monsoon,Low,,Stem Borer
37.73,83.64,14.61,19.25,Winter,Low,,Aphids
33.37,40.28,68.07,23.63,Summer,Low,,Healthy
33.34,47.02,180.09,22.12,Winter,Low,,Stem Borer
29.03,71.61,239.54,13.77,Winter,Medium,Armyworm,Stem Borer
33.89,91.46,202.38,4.76,Summer,High,Leaf Spot,Powdery Mildew
32.75,78.15,283.42,14.88,Winter,High,Blight,Stem Borer
24.66,50.78,153.4,2.7,Winter,Low,,Stem Borer
38.18,91.97,272.85,14.57,Monsoon,High,Leaf Spot,Powdery Mildew
20.58,80.62,28.99,13.65,Summer,Low,,Healthy
37.45,55.16,270.78,3.1,Monsoon,Low,,Stem Borer
28.22,91.9,294.84,1.04,Summer,High,Blight,Powdery Mildew
35.5,84.45,213.42,23.17,Summer,High,Leaf Spot,Powdery Mildew
32.23,50.53,179.82,14.28,Winter,Low,,Stem Borer
37.36,76.84,261.34,18.42,Summer,High,Blight,Stem Borer
26.54,62.94,235.17,22.07,Monsoon,Medium,Armyworm,Stem Borer
27.45,92.1,194.55,4.78,Winter,High,Blight,Powdery Mildew
24.23,91.65,220.08,9.48,Summer,High,Leaf Spot,Powdery Mildew
20.53,43.11,248.55,1.32,Winter,Low,,Stem Borer
20.43,61.2,11.12,20.48,Summer,Medium,Armyworm,Whitefly
22.23,87.7,234.93,24.43,Winter,High,Leaf Spot,Powdery Mildew
28.13,60.69,62.7,10.79,Monsoon,Medium,Armyworm,Whitefly
35.99,77.96,72.07,3.14,Summer,Low,,Whitefly
33.04,64.46,22.76,11.31,Winter,Medium,Armyworm,Aphids
32.53,80.09,254.81,10.92,Summer,High,Blight,Powdery Mildew
27.89,78.29,64.36,10.64,Monsoon,Low,,Whitefly
39.23,79.33,22.15,5.66,Monsoon,Low,,Aphids
30.11,89.2,171.2,20.37,Monsoon,High,Blight,Powdery Mildew
38.82,69.61,183.9,15.48,Monsoon,Medium,Armyworm,Stem Borer
24.19,86.16,151.96,22.05,Monsoon,High,Leaf Spot,Powdery Mildew
27.3,53.93,69.22,17.9,Summer,Low,,Healthy
35.28,75.97,112.3,23.93,Monsoon,Medium,Aphids,Stem Borer
21.69,43.32,282.06,13.92,Winter,Low,,Stem Borer
21.08,63.0,145.43,10.41,Summer,Medium,Armyworm,Stem Borer
38.58,70.62,284.8,12.27,Summer,Medium,Aphids,Stem Borer
35.59,86.24,296.94,5.39,Summer,High,Blight,Powdery Mildew
31.48,70.6,93.92,16.52,Summer,Medium,Armyworm,Stem Borer
31.7,85.73,54.7,4.38,Monsoon,Low,,Healthy
37.34,75.97,131.31,9.28,Winter,Medium,Aphids,Stem Borer
36.77,58.99,102.01,12.47,Winter,Medium,Armyworm,Stem Borer
24.78,87.53,142.02,1.36,Summer,High,Leaf Spot,Powdery Mildew
34.04,49.59,97.2,11.94,Monsoon,Medium,Armyworm,Stem Borer
22.47,43.2,60.61,5.33,Summer,Low,,Healthy
29.78,76.19,182.78,6.18,Monsoon,High,Leaf Spot,Stem Borer
28.36,52.76,115.21,21.05,Monsoon,Medium,Aphids,Stem Borer
27.3,79.63,263.11,8.63,Winter,High,Leaf Spot,Stem Borer
29.5,58.6,192.58,24.57,Winter,Low,,Stem Borer
26.69,91.59,246.56,15.6,Summer,High,Blight,Powdery Mildew
38.98,86.88,282.25,21.16,Winter,High,Blight,Powdery Mildew
21.34,80.82,220.54,2.71,Summer,High,Leaf Spot,Powdery Mildew
38.03,72.46,238.13,17.63,Winter,Medium,Armyworm,Stem Borer
23.55,66.88,26.43,2.85,Monsoon,Medium,Armyworm,Whitefly
30.64,61.49,30.05,7.61,Summer,Medium,Armyworm,Whitefly
21.01,91.16,145.89,21.32,Summer,High,Blight,Powdery Mildew
27.3,75.68,36.46,7.67,Summer,Low,,Whitefly
26.84,86.21,177.78,0.54,Summer,High,Leaf Spot,Powdery Mildew
23.6,52.61,267.28,23.56,Summer,Low,,Stem Borer
20.77,52.96,40.41,4.68,Winter,Low,,Healthy
23.91,43.4,131.19,20.41,Monsoon,Medium,Armyworm,Stem Borer
26.82,57.03,150.15,19.82,Monsoon,Low,,Stem Borer
31.76,44.59,92.64,23.59,Summer,Medium,Aphids,Stem Borer
22.44,48.95,88.56,18.59,Monsoon,Medium,Aphids,Stem Borer
39.09,92.08,204.51,8.05,Monsoon,High,Leaf Spot,Powdery Mildew
22.26,40.77,7.09,1.18,Winter,Low,,Healthy
31.52,58.96,268.08,2.47,Summer,Low,,Stem Borer
21.62,56.46,178.69,10.18,Summer,Low,,Stem Borer
34.03,48.76,270.39,13.9,Winter,Low,,Stem Borer
26.71,92.74,252.99,23.25,Winter,High,Leaf Spot,Powdery Mildew
36.94,86.73,208.1,11.58,Summer,High,Blight,Powdery Mildew
36.29,87.06,31.65,20.17,Monsoon,Low,,Aphids
22.94,91.46,146.87,12.99,Summer,High,Leaf Spot,Powdery Mildew
23.98,52.16,257.36,7.9,Winter,Low,,Stem Borer
24.46,79.57,207.07,0.9,Monsoon,High,Blight,Stem Borer
36.95,74.81,250.43,2.59,Winter,Medium,Armyworm,Stem Borer
24.44,44.27,34.62,22.5,Winter,Low,,Healthy
33.56,73.27,179.18,2.49,Summer,Medium,Armyworm,Stem Borer
34.42,83.05,149.68,5.13,Monsoon,High,Leaf Spot,Powdery Mildew
23.14,60.69,155.92,9.96,Winter,Medium,Aphids,Stem Borer
20.59,80.57,277.46,11.99,Summer,High,Leaf Spot,Powdery Mildew
26.58,75.15,74.08,8.02,Summer,Low,,Whitefly
30.88,74.38,210.14,7.64,Winter,Medium,Armyworm,Stem Borer
27.81,90.78,153.12,13.37,Monsoon,High,Leaf Spot,Powdery Mildew
28.44,41.68,33.96,18.5,Monsoon,Low,,Healthy
23.35,81.35,193.22,2.06,Monsoon,High,Blight,Powdery Mildew
38.41,69.76,259.34,5.79,Winter,Medium,Aphids,Stem Borer
21.85,62.57,56.72,24.29,Summer,Medium,Aphids,Whitefly
26.58,88.05,146.98,3.64,Winter,High,Leaf Spot,Powdery Mildew
30.99,83.11,79.51,3.91,Monsoon,Low,,Healthy
22.74,69.89,230.17,17.1,Monsoon,Medium,Armyworm,Stem Borer
21.93,54.65,141.06,16.21,Monsoon,Low,,Stem Borer
21.65,93.31,10.86,19.67,Winter,Low,,Healthy
35.74,71.31,153.43,9.2,Winter,Medium,Armyworm,Stem Borer
26.19,89.67,291.04,14.86,Summer,High,Leaf Spot,Powdery Mildew
23.24,94.35,246.67,4.36,Summer,High,Blight,Powdery Mildew
21.42,61.02,114.75,12.87,Monsoon,Medium,Armyworm,Stem Borer
24.16,42.21,206.13,11.01,Winter,Low,,Stem Borer
27.68,93.7,200.65,18.08,Summer,High,Leaf Spot,Powdery Mildew
30.15,80.04,226.35,20.83,Winter,High,Leaf Spot,Powdery Mildew
30.5,69.87,274.15,23.72,Winter,Medium,Armyworm,Stem Borer
33.08,76.97,121.72,1.86,Winter,Medium,Aphids,Stem Borer
21.81,49.32,280.77,17.63,Monsoon,Low,,Stem Borer
29.75,66.82,122.51,5.93,Summer,Medium,Armyworm,Stem Borer
37.89,55.13,25.92,11.03,Winter,Low,,Aphids
38.68,73.86,150.83,2.93,Summer,Medium,Aphids,Stem Borer
23.58,75.12,224.41,4.49,Monsoon,High,Blight,Stem Borer
31.12,53.44,50.47,19.34,Monsoon,Low,,Healthy
25.94,46.95,143.12,20.69,Winter,Low,,Stem Borer
32.78,76.05,220.8,23.1,Summer,High,Leaf Spot,Stem Borer
39.35,91.95,187.23,21.98,Monsoon,High,Blight,Powdery Mildew
22.57,63.38,56.67,0.49,Winter,Medium,Aphids,Whitefly
31.2,46.91,61.55,0.5,Summer,Low,,Healthy
36.35,49.34,57.58,15.89,Summer,Low,,Healthy
25.67,71.99,103.16,13.95,Summer,Medium,Armyworm,Stem Borer
26.42,46.71,1.27,13.8,Summer,Low,,Healthy
39.31,82.82,54.9,20.87,Summer,Low,,Healthy
39.69,63.59,84.54,18.36,Summer,Medium,Aphids,Stem Borer
20.86,66.82,23.07,17.08,Winter,Medium,Aphids,Whitefly
25.71,84.27,74.7,9.75,Monsoon,Low,,Healthy
22.69,60.85,58.31,1.29,Monsoon,Medium,Armyworm,Whitefly
30.74,64.83,284.3,22.22,Winter,Medium,Armyworm,Stem Borer
22.78,79.88,182.65,20.91,Winter,High,Leaf Spot,Stem Borer
34.89,86.41,284.84,4.56,Monsoon,High,Leaf Spot,Powdery Mildew
36.22,82.75,146.52,11.75,Summer,High,Blight,Powdery Mildew
26.21,49.24,251.14,22.79,Winter,Low,,Stem Borer
27.5,67.52,56.54,4.22,Winter,Medium,Armyworm,Whitefly
32.05,59.67,277.51,17.15,Monsoon,Low,,Stem Borer
25.28,84.71,244.48,6.94,Winter,High,Blight,Powdery Mildew
33.78,84.37,196.49,12.66,Winter,High,Leaf Spot,Powdery Mildew
33.27,46.27,240.33,1.49,Summer,Low,,Stem Borer
34.7,49.08,279.7,12.93,Summer,Low,,Stem Borer
26.72,54.88,27.06,19.4,Winter,Low,,Healthy
34.04,90.43,221.12,11.73,Winter,High,Blight,Powdery Mildew
22.4,87.98,129.02,5.89,Winter,Medium,Armyworm,Powdery Mildew
38.47,63.03,253.73,5.94,Monsoon,Medium,Armyworm,Stem Borer
29.52,56.88,246.25,22.36,Winter,Low,,Stem Borer
31.5,91.59,45.93,8.59,Winter,Low,,Healthy
38.81,60.06,270.87,14.28,Winter,Medium,Armyworm,Stem Borer
32.57,76.46,291.48,5.03,Summer,High,Blight,Stem Borer
34.34,69.03,255.09,1.86,Monsoon,Medium,Armyworm,Stem Borer
29.07,57.44,263.7,18.22,Winter,Low,,Stem Borer
36.98,76.72,52.19,14.57,Summer,Low,,Whitefly
27.23,91.26,95.74,9.42,Winter,Medium,Armyworm,Powdery Mildew
32.05,93.67,112.97,17.32,Summer,Medium,Aphids,Powdery Mildew
37.51,90.61,59.35,11.31,Summer,Low,,Healthy
20.08,93.11,140.2,24.1,Winter,High,Leaf Spot,Powdery Mildew
29.2,93.62,229.71,1.49,Winter,High,Blight,Powdery Mildew
29.12,79.41,240.25,14.04,Monsoon,High,Leaf Spot,Stem Borer
37.8,62.0,23.56,17.3,Monsoon,Medium,Aphids,Aphids
29.42,60.0,169.16,2.52,Summer,Medium,Armyworm,Stem Borer
